gene	pval	fstat	species_specific
PCDH9	0	2073.88035530967	FALSE
PCDH20	1.52845363827057e-63	149.76471128338	TRUE
CNOT6L	2.39329606611977e-118	289.17719115095	TRUE
MRPL1	5.19459187656043e-251	663.660854602305	FALSE
FRAS1	9.62432644640055e-18	39.5520950555562	TRUE
ANXA3	8.44548334903424e-163	408.607534096727	FALSE
BMP2K	1.05330806463652e-53	125.61790854693	TRUE
PAQR3	2.68639151345956e-52	122.186913042112	TRUE
ANTXR2	4.29086633914341e-195	499.11735567638	FALSE
BMP3	3.72963122202852e-216	559.904203392116	FALSE
RASGEF1B	8.07962726681984e-53	123.459006795334	TRUE
HNRNPD	0	1032.15409632419	FALSE
HNRNPDL	6.23568123509721e-27	61.2196088387833	TRUE
ENOPH1	0	1660.76408060716	FALSE
TMEM150C	9.273180517641e-19	41.937493889288	TRUE
SEC31A	6.08352473190251e-09	19.0036192624139	TRUE
LIN54	5.19545973704257e-72	170.760623471122	TRUE
COPS4	3.77996871333457e-105	254.829113433392	TRUE
PLAC8	9.38825339980189e-137	337.920756567784	TRUE
COQ2	6.77604578869794e-189	481.494350795797	FALSE
HPSE	8.06454875394227e-151	375.842642045289	TRUE
HELQ	4.53568961938873e-73	173.399925675247	TRUE
MRPS18C	4.95588522781706e-83	198.378481837723	TRUE
SIRPA	1.33752002090262e-110	268.954858133297	TRUE
STK35	7.586298607816e-09	18.7808627547351	TRUE
TGM3	0.0663678630863972	2.71430461622659	TRUE
SNRPB	1.87028306314241e-126	310.52441379943	TRUE
SPIDR	4.50521047482951e-39	90.1886045362459	TRUE
PRKDC	2.95503308466913e-140	347.307283357056	TRUE
MCM4	8.48778504953041e-07	14.0263582309556	TRUE
UBE2V2	1.57082157159648e-56	132.528207017958	TRUE
SNAI2	2.71688505445844e-05	10.5399460526035	TRUE
MND1	1.80673811508497e-05	10.9500079016338	TRUE
RPL22	9.3708955534144e-35	79.841179558721	TRUE
TLR2	2.68285435335826e-05	10.5526144411647	TRUE
PLRG1	5.83896710717635e-29	66.0328101565056	TRUE
MAP9	9.39812955902468e-168	422.2824405499	FALSE
CTSO	3.96492786663043e-20	45.1554428715636	TRUE
PDGFC	6.12615735982738e-12	25.9786995057009	TRUE
GLRB	2.23104299394791e-17	38.6955847339376	TRUE
GRIA2	0.00134842533924518	6.61928524228015	TRUE
TMEM144	3.6001127073791e-06	12.5722350437063	TRUE
ETFDH	4.16895460272434e-06	12.4246569724645	TRUE
PPID	2.24881741356775e-14	31.6634100305266	TRUE
FNIP2	3.86486446591268e-80	191.098465395642	TRUE
RAPGEF2	3.85085458098206e-37	85.5532221168057	TRUE
GREB1L	5.46253965794223e-09	19.1122722080636	TRUE
ESCO1	2.17144499898425e-21	48.124989385277	TRUE
SUSD2	0.065609554237701	2.72581120333482	TRUE
MTMR3	7.95446222626745e-05	9.46055528387577	TRUE
LIF	7.83700728230927e-13	28.0615985922244	TRUE
TBC1D10A	6.92978252174001e-10	21.1968671297623	TRUE
SF3A1	4.52006595044257e-106	257.213232775601	TRUE
CCDC157	9.33995635061512e-08	16.2492656950181	TRUE
RNF215	8.32456084498143e-20	44.3978180133224	TRUE
SEC14L2	0.357497373646627	1.02888061447335	TRUE
MTFP1	1.39219728935317e-22	50.9372340542012	TRUE
SEC14L3	8.51469920472134e-25	56.1647636645759	TRUE
SEC14L4	2.17785601313135e-09	20.0404646354568	TRUE
GAL3ST1	1.95957142759383e-49	115.219953086028	TRUE
PES1	0.00498707960804986	5.30763770306389	TRUE
TCN2	1.99983714287094e-34	79.0543010341078	TRUE
SLC35E4	4.09718882249965e-38	87.8868357475609	TRUE
DUSP18	2.2583434743423e-27	62.2652909892555	TRUE
OSBP2	0.00226249054261248	6.10018058769277	TRUE
MORC2	1.92114133239075e-33	76.7074953289012	TRUE
SMTN	5.12366856993587e-22	49.6028838579094	TRUE
INPP5J	2.08140008499959e-17	38.7663006753615	TRUE
PLA2G3	6.30563376048527e-05	9.69391006978145	TRUE
RNF185	5.00124830305029e-14	30.8521644163009	TRUE
LIMK2	3.83994300158552e-72	171.087693745232	TRUE
PIK3IP1	0.189152258549053	1.66586701381453	TRUE
PATZ1	4.32549060237474e-96	231.542508287169	TRUE
DRG1	3.09348088723967e-29	66.6882519262577	TRUE
EIF4ENIF1	1.37925735137954e-07	15.8564406354888	TRUE
SFI1	6.00867851686024e-15	33.0036272231828	TRUE
PISD	1.48199861053809e-29	67.4477894228937	TRUE
PRR14L	2.92393516939434e-257	682.68929347696	FALSE
DEPDC5	0.0203691078801145	3.89736778352644	TRUE
YWHAH	3.25237700109123e-44	102.573687014011	TRUE
SLC5A1	9.7928838751511e-10	20.8475585782338	TRUE
SLC5A4	0.11162658852775	2.19374735203973	TRUE
PCDH10	0.00277705108304303	5.89466873454077	TRUE
SLC7A11	1.22004872906861e-15	34.6237538010628	TRUE
NOCT	1.4350199147592e-139	345.46493800551	TRUE
ELF2	1.48065782482839e-31	72.2078643497859	TRUE
DAD1	0	1799.36927985056	FALSE
NDUFC1	1.00234796125258e-55	130.558144420049	TRUE
NAA15	5.85327634755083e-14	30.6925325002454	TRUE
RAB33B	9.84791817929328e-30	67.8697467520114	TRUE
SETD7	5.6116772475148e-75	178.161904191659	TRUE
MGST2	2.31907908555661e-130	320.879399585321	TRUE
MAML3	8.07700980754272e-50	116.155336169378	TRUE
SCOC	1.24495932700612e-254	674.668087736792	FALSE
ELMOD2	1.08276000013957e-14	32.4055119452534	TRUE
UCP1	3.38388432704138e-95	229.258489983411	TRUE
