X_scanvi_emb1,X_scanvi_emb2,X_scanvi_emb3,X_scanvi_emb4,X_scanvi_emb5,X_scanvi_emb6,X_scanvi_emb7,X_scanvi_emb8,X_scanvi_emb9,X_scanvi_emb10,X_scanvi_emb11,X_scanvi_emb12,X_scanvi_emb13,X_scanvi_emb14,X_scanvi_emb15,X_scanvi_emb16,X_scanvi_emb17,X_scanvi_emb18,X_scanvi_emb19,X_scanvi_emb20,X_scanvi_emb21,X_scanvi_emb22,X_scanvi_emb23,X_scanvi_emb24,X_scanvi_emb25,X_scanvi_emb26,X_scanvi_emb27,X_scanvi_emb28,X_scanvi_emb29,X_scanvi_emb30,X_umap1,X_umap2
1.7475847,2.2580109,-0.4531787,0.66619134,-0.41261056,-0.08016473,1.1981664,0.07289201,0.028219521,-1.4583458,0.29248178,0.08096584,3.9211762,1.3787673,-1.9004412,-1.4710283,1.0319111,0.054862306,0.5807946,1.9037375,-0.14460075,0.15178716,0.057396293,0.22794503,0.21918342,-0.30329305,0.2382448,0.09457119,-0.84955335,-1.0326476,6.2101912,2.8601246
-0.20074823,-0.37232557,0.9908953,0.7656431,0.026509188,0.43479505,-1.1135921,-0.21658874,1.4979422,-1.1561651,-0.4102013,0.0642902,4.208961,0.26575837,0.13602287,-0.058372974,0.83106184,0.23218542,-0.4047668,2.7777,0.0020754337,0.3367832,0.072945625,1.5142305,-0.07702747,-0.006876111,-0.4995223,0.2790849,-0.91262233,-0.77232087,11.034827,10.816741
-0.31345248,-0.89272225,0.41551378,-0.7953561,-1.9470624,0.034510054,-1.3664722,-0.17471668,-0.8558703,-0.652884,-1.4524721,0.074909724,2.1113994,0.14219981,1.302118,0.623417,-0.13253951,-0.0028722011,0.630316,-0.15640777,-0.4374944,-0.63191456,0.043676116,-0.6865996,-0.20830971,0.04548496,-1.0142213,-0.3982417,-0.015368551,-0.49900332,11.721752,7.9276624
1.4778558,1.6424259,0.61350286,0.6551695,-0.78141063,-0.832805,-0.4087904,-0.121984474,-0.15980826,-0.8964034,0.111847565,0.07310519,4.074796,1.2526582,-1.6388012,-2.0208228,1.3319602,0.08691426,0.9461019,2.5952992,-0.49007684,-0.71427226,0.039679103,0.7732318,0.14394546,-0.51910466,-0.3007445,-0.2872681,-0.6965856,-0.87600553,6.089578,2.7052312
0.7494954,0.6066693,0.4921877,-0.39156693,-3.6614144,0.9296729,-0.57361597,-0.25056514,0.5978868,-0.80412734,0.6786586,0.11063961,2.0275292,0.66391075,0.35946977,-0.74153566,0.7566736,0.0587585,0.9816927,0.5134239,0.054786444,-0.04846523,0.037431784,-0.21315956,-0.8496762,-0.23329383,-0.19777212,-0.28301555,-0.49808607,-0.1299699,11.415761,8.579738
1.109258,0.488562,0.059003234,-0.44430703,-1.9846603,0.08440179,-1.1088619,-0.29459333,0.8235793,-1.2589093,-0.16129063,0.101363406,3.82502,1.1092024,-0.08709705,-1.1997403,0.6936177,0.109438024,1.3384368,2.023823,-0.16734767,-0.18550003,0.050519705,0.5041916,0.10062271,-0.10127562,-0.9134085,-0.23052849,-0.8156106,0.041414082,11.0301485,9.636977
0.34249777,-0.12930721,0.5637301,0.08223754,-0.68833464,1.3559787,-0.42391223,-0.22213608,0.4283296,-1.2472404,-0.15029477,0.05865871,3.299476,0.9261111,0.07313371,-0.213514,0.75403965,0.18240353,-0.007948697,2.1333117,-0.39771736,0.39074197,0.05599132,1.231842,0.17303711,0.21214455,-0.30241555,-0.33106822,-0.694937,-0.43198207,10.941964,10.328731
-0.23324965,0.40765417,0.3854284,0.11521381,-0.40388516,0.019802228,-0.15794075,-0.18686134,1.4944999,-1.3981149,-0.8298269,0.063169576,4.418855,0.17718545,-0.23323771,-0.47106782,1.0300816,0.19771782,-0.43929613,3.1624804,-0.28527164,0.3486769,0.060873404,1.1791875,0.10926604,-0.17971975,0.31516293,0.036291823,-1.2461917,-0.32004234,10.926135,10.810915
1.2572128,1.7787753,-0.2168693,0.5632438,-0.7297992,-1.4318197,-0.14196944,-0.07660165,-0.13899991,-0.61307776,-0.79336417,0.09923234,3.7519572,1.2661623,-1.7978781,-1.8953879,1.0786633,0.011072591,0.75094795,2.2292075,-0.620813,-0.6144825,0.05881974,1.2436984,0.20899302,-0.49025172,0.29931405,0.30776376,-0.5759258,-0.4539946,6.117315,2.7292035
-0.40397453,-0.22527087,0.9288268,0.72365135,0.14322716,0.50264525,-0.4297145,-0.23829594,-0.9743987,-1.2859248,-0.17299767,0.06170726,3.6022112,0.68505836,-0.32254952,0.2183168,1.0208395,0.19045706,-0.8774891,2.9001725,0.19782889,-0.19252536,0.06665772,2.4875915,0.0102828145,-0.04754907,-0.5221768,0.026738092,-0.9440025,0.15774676,10.954503,10.806007
0.5041915,-0.7387469,0.006207913,0.5740921,-0.6651844,0.7170461,-1.5482783,-0.1796427,1.2077303,-1.0548812,-0.5991712,0.0765181,3.482295,-0.26190788,0.21306318,-0.48017445,0.5379302,0.13219443,-0.8280222,2.549065,-0.1072036,0.03938072,0.06556487,1.2334421,-0.42406917,0.1294809,0.35497585,0.13097398,-0.46148717,-0.33795726,11.0777025,10.705959
-0.061092142,-0.3123728,0.39137653,0.16892779,0.24123594,0.7492512,-0.08878106,-0.24418876,0.9167032,-1.1279184,0.07011028,0.04135199,3.141106,0.59536266,-0.672348,-0.9631442,0.8781439,0.20689511,0.019657671,1.9887303,-0.36304748,0.16338845,0.052416563,0.29505795,0.44693178,-0.28670985,-0.34396836,-0.15081657,-0.586765,-0.24501434,11.01426,10.245273
0.34320125,0.3694048,0.12050554,0.35308495,-0.080550335,0.3618773,0.18057138,-0.08811953,0.73010886,-1.1832954,0.39897656,0.066816635,2.9011347,0.73761106,0.347584,-0.8217095,1.1153659,0.11749951,-0.7279718,2.0752547,-0.20677531,0.6887654,0.050539657,0.669251,-0.34563917,0.305991,0.24536887,-0.09653719,-0.8894009,-0.2894768,11.000725,10.358141
0.78513795,0.40329993,-0.11008227,1.8499527,0.6523759,0.06749609,0.37746498,0.06996827,0.62486553,-1.7627393,-0.58479035,0.09016288,2.8802457,0.071873024,-0.8661233,-0.90267086,0.64057624,0.098124556,-0.8265958,1.2733427,0.13519394,0.75566936,0.08293396,-0.36446303,0.14983362,0.03023237,0.5978168,0.6583082,-0.58418554,0.4241571,10.997381,10.371665
0.36130264,0.069454074,0.30443987,0.46076125,-0.58648825,0.7523068,-1.2686906,-0.121412314,-0.59292996,-1.447464,-1.0104039,0.0980389,4.0388217,0.17598647,-0.29693037,0.20835173,0.9389021,0.19152321,-0.25788617,3.0584567,-0.18495727,0.23244089,0.078026645,1.0344086,-0.47551692,0.2637095,0.047382176,0.3693311,-1.0909915,-0.09319922,10.948738,10.814844
0.27256152,-0.27823627,0.7094395,0.4063109,-0.7637306,0.3846894,-0.15191334,-0.18483177,1.2792294,-1.3457656,-0.20756705,0.055187017,3.8395317,0.7507371,0.60423553,0.017771482,0.79223675,0.18482794,-0.4443165,2.7610402,-0.13848019,-0.0617565,0.066155605,1.0864551,0.36559504,-0.24994403,0.12398395,-0.22352947,-1.2123507,-0.8324357,10.994033,10.762399
0.46259165,1.7449528,-0.03330961,0.6772395,-0.4845201,-1.3317204,0.31890774,-0.105653174,-0.17541634,-0.91754967,-0.4863997,0.06266964,4.019854,0.8238015,-2.2370121,-1.4905435,1.3649211,0.13291153,0.94421315,2.8681815,-0.6996231,-0.63136625,0.037044704,0.9219088,-0.106734395,-1.153964,0.004052192,-0.28049582,-0.98863566,-1.1068053,6.1463823,2.7717729
0.4865424,-0.032628834,-0.44527045,0.1495238,-1.0556594,0.17861946,0.50930893,-0.22120997,0.515436,-1.1119673,-0.7680907,0.07755647,3.5597332,0.7248219,0.1520539,-1.0963277,0.9502177,0.14798965,0.30197144,2.2404902,-0.4433182,0.17290586,0.07124594,0.8568348,-0.10393575,0.4919802,-0.27588564,-0.06893532,-1.0582781,-0.4816381,10.901972,10.357137
0.106636494,-0.8867942,0.25727782,0.83203936,0.47945738,1.3885927,-0.84669274,-0.087396465,1.662164,-0.7235599,-0.962772,0.058958538,2.5430682,0.19671026,-0.6632882,-0.73896796,0.47742367,0.15983877,-1.2734218,1.8948249,-0.054039836,0.23159453,0.07004582,1.3935885,-0.07423288,0.36803353,0.34836367,0.11537248,-0.14606228,0.117117345,11.050474,10.479988
-0.3009444,0.5009743,-0.27653953,0.27876657,-0.030465223,0.39350057,0.51154387,-0.10006515,1.2019622,-1.4933543,-0.71459454,0.0789466,3.6948097,0.65876627,0.011987209,-0.5447202,1.0532417,0.16221395,-0.78505546,2.6359823,0.052943945,0.62047124,0.06629005,0.96962327,0.01598239,0.2796499,0.29665092,0.35371888,-0.965283,0.10076484,10.884399,10.617259
0.05116859,0.6212996,0.31239435,0.34665614,-0.13454583,1.1813703,0.4974479,-0.09875303,1.1714351,-1.2516888,-0.79204994,0.07860528,4.082899,0.723914,0.33215308,-0.6600119,0.86392045,0.19370493,-0.12565279,2.5664213,0.17206216,0.76221406,0.0630284,1.1989725,0.017504543,0.2979321,0.098030955,-0.046151534,-0.9159884,-0.41279146,10.7848215,10.609933
0.26044416,0.47127938,-0.6564387,0.25171345,-2.04938,0.5729259,0.36853242,-0.17375281,-0.21762347,-0.34743044,0.0126338005,0.10568641,2.704801,0.77800024,-0.35129538,-1.2999892,0.3796147,0.07231394,1.8441434,1.4283556,0.65557444,0.21775281,0.022776809,1.0701053,-0.33797693,0.46725133,-0.84034956,-0.43185103,-0.18440384,-0.4904622,11.121954,9.362619
-0.041584514,0.17257601,0.19468147,-0.60407585,-0.20414445,0.67538357,-0.6302517,-0.10954326,0.6697033,-1.1552217,-0.43054193,0.05106306,2.0909736,0.45335975,0.068009615,-0.26690206,0.8061451,0.14278534,0.14836812,1.6532507,-0.4584868,0.24736387,0.044929184,-0.36157548,0.054954052,0.5704236,-0.22325349,-0.22085069,-0.7177987,-0.7770679,11.05445,9.989998
-0.42455393,-0.11684734,0.4808053,0.5206437,-0.17514998,-1.0117981,-0.23328483,-0.22643667,0.84339094,-1.4147506,-1.0394759,0.05199036,3.7571628,0.35352618,0.1815232,-0.4785563,0.97426325,0.16592565,-0.15732741,2.7225285,-0.19527769,0.3701223,0.05482152,0.8143826,0.3461873,0.09913641,-0.5097772,-0.059218064,-0.6192118,-0.6004844,11.062308,10.616764
0.91523194,-0.12890303,0.60188377,0.18618292,-0.17111725,0.7954079,-0.2616052,-0.16811195,0.9245411,-1.4334859,-0.09729572,0.069458775,4.2350087,0.50577784,0.24659067,-0.64356625,0.7120025,0.17255783,0.48596668,2.1248085,-0.121611476,0.40880674,0.069916256,0.4019922,0.045370936,-0.04253012,-0.2628687,-0.10610162,-0.5166918,-0.9185058,10.94746,10.396018
